Diagnosis_date,Type,cases,Temperature_l,Temperature_h
2015/1/1,HFMD,52,8,10.00
2015/1/2,HFMD,22,8,10
2015/1/3,HFMD,52,8,11
2015/1/4,HFMD,28,7,10
2015/1/5,HFMD,32,6,9
2015/1/6,HFMD,36,6,9
2015/1/7,HFMD,32,8,11
2015/1/8,HFMD,27,7,10
2015/1/9,HFMD,30,7,11
2015/1/10,HFMD,31,8,12
2015/1/11,HFMD,48,8,13
2015/1/12,HFMD,34,5,13
2015/1/13,HFMD,38,6,14
2015/1/14,HFMD,38,9,13
2015/1/15,HFMD,33,9,12
2015/1/16,HFMD,31,9,13
2015/1/17,HFMD,22,10,12
2015/1/18,HFMD,26,8,14
2015/1/19,HFMD,26,8,13
2015/1/20,HFMD,31,7,14
2015/1/21,HFMD,47,7,16
2015/1/22,HFMD,30,8,17
2015/1/23,HFMD,28,11,15
2015/1/24,HFMD,19,11,13
2015/1/25,HFMD,23,12,14
2015/1/26,HFMD,26,11,15
2015/1/27,HFMD,21,9,13
2015/1/28,HFMD,30,7,11
2015/1/29,HFMD,18,6,8
2015/1/30,HFMD,22,6,8
2015/1/31,HFMD,30,5,7
2015/2/1,HFMD,18,7,9
2015/2/2,HFMD,27,7,12
2015/2/3,HFMD,20,7,11
2015/2/4,HFMD,18,8,11
2015/2/5,HFMD,14,6,12
2015/2/6,HFMD,19,8,13
2015/2/7,HFMD,15,8,13
2015/2/8,HFMD,12,7,11
2015/2/9,HFMD,8,8,10
2015/2/10,HFMD,9,7,12
2015/2/11,HFMD,13,6,15
2015/2/12,HFMD,13,9,18
2015/2/13,HFMD,11,10,15
2015/2/14,HFMD,10,12,14
2015/2/15,HFMD,9,11,17
2015/2/16,HFMD,8,11,17
2015/2/17,HFMD,10,12,20
2015/2/18,HFMD,4,14,17
2015/2/19,HFMD,6,14,18
2015/2/20,HFMD,6,12,19
2015/2/21,HFMD,3,13,18
2015/2/22,HFMD,8,10,17
2015/2/23,HFMD,8,10,16
2015/2/24,HFMD,16,11,16
2015/2/25,HFMD,13,12,16
2015/2/26,HFMD,14,12,16
2015/2/27,HFMD,10,8,14
2015/2/28,HFMD,11,8,12
2015/3/1,HFMD,6,8,12
2015/3/2,HFMD,13,9,13
2015/3/3,HFMD,14,8,13
2015/3/4,HFMD,9,8,12
2015/3/5,HFMD,8,9,13
2015/3/6,HFMD,11,9,13
2015/3/7,HFMD,10,10,16
2015/3/8,HFMD,14,9,18
2015/3/9,HFMD,15,12,18
2015/3/10,HFMD,12,11,16
2015/3/11,HFMD,19,10,17
2015/3/12,HFMD,10,14,22
2015/3/13,HFMD,15,14,20
2015/3/14,HFMD,19,14,18
2015/3/15,HFMD,23,13,21
2015/3/16,HFMD,22,17,22
2015/3/17,HFMD,10,17,22
2015/3/18,HFMD,26,16,22
2015/3/19,HFMD,11,16,20
